1,1,person
2,2,person
3,3,person
4,4,person
5,5,person
6,6,person
7,7,person
8,8,person
9,9,person
10,10,person
11,11,person
12,12,person
13,13,person
14,14,person
15,15,person
16,16,person
17,17,person
18,18,person
19,19,person
20,20,person
21,21,person
22,22,person
23,23,person
24,24,person
25,25,person
26,26,person
27,27,person
28,28,person
29,29,person
30,30,person
31,31,person
32,32,person
33,33,person
34,34,person
35,35,person
36,36,person
37,37,person
38,38,person
39,39,person
40,40,person
41,41,person
42,42,person
43,43,person
44,44,person
45,45,person
46,46,person
47,47,person
48,48,person
49,49,person
50,50,person
51,51,person
52,52,person
53,53,person
54,54,person
55,55,person
56,56,person
57,57,person
58,58,person
59,59,person
60,60,person
61,61,person
62,62,person
63,63,person
64,64,person
65,65,person
66,66,person
67,67,person
68,68,person
69,69,person
70,70,person
71,71,person
72,72,person
73,73,person
74,74,person
75,75,person
76,76,person
77,77,person
78,78,person
79,79,person
80,80,person
81,81,person
82,82,person
83,83,person
84,84,person
85,85,person
86,86,person
87,87,person
88,88,person
89,89,person
90,90,person
91,91,person
92,92,person
93,93,person
94,94,person
95,95,person
96,96,person
97,97,person
98,98,person
99,99,person
100,100,person
101,101,person
102,102,person
103,103,person
104,104,person
105,105,person
106,106,person
107,107,person
108,108,person
109,109,person
110,110,person
111,111,person
112,112,person
113,113,person
114,114,person
115,115,person
116,116,person
117,117,person
118,118,person
119,119,person
120,120,person
121,121,person
122,122,person
123,123,person
124,124,person
125,125,person
126,126,person
127,127,person
128,128,person
129,129,person
130,130,person
131,131,person
132,132,person
133,133,person
134,134,person
135,135,person
136,136,person
137,137,person
138,138,person
139,139,person
140,140,person
141,141,person
142,142,person
143,143,person
144,144,person
145,145,person
146,146,person
147,147,person
148,148,person
149,149,person
150,150,person
151,151,person
152,152,person
153,153,person
154,154,person
155,155,person
156,156,person
157,157,person
158,158,person
159,159,person
160,160,person
161,161,person
162,162,person
163,163,person
164,164,person
165,165,person
166,166,person
167,167,person
168,168,person
169,169,person
170,170,person
171,171,person
172,172,person
173,173,person
174,174,person
175,175,person
176,176,person
177,177,person
178,178,person
179,179,person
180,180,person
181,181,person
182,182,person
183,183,person
184,184,person
185,185,person
186,186,person
187,187,person
188,188,person
189,189,person
190,190,person
191,191,person
192,192,person
193,193,person
194,194,person
195,195,person
196,196,person
197,197,person
198,198,person
199,199,person
200,200,person
201,201,person
202,202,person
203,203,person
204,204,person
205,205,person
206,206,person
207,207,person
208,208,person
209,209,person
210,210,person
211,211,person
212,212,person
213,213,person
214,214,person
215,215,person
216,216,person
217,217,person
218,218,person
219,219,person
220,220,person
221,221,person
222,222,person
223,223,person
224,224,person
225,225,person
226,226,person
227,227,person
228,228,person
229,229,person
230,230,person
231,231,person
232,232,person
233,233,person
234,234,person
235,235,person
236,236,person
237,237,person
238,238,person
239,239,person
240,240,person
241,241,person
242,242,person
243,243,person
244,244,person
245,245,person
246,246,person
247,247,person
248,248,person
249,249,person
250,250,person
251,251,person
252,252,person
253,253,person
254,254,person
255,255,person
256,256,person
257,257,person
258,258,person
